id;stock_item_name;vendor_code;vendor_sku;barcode;barcode_type_id;barcode_type_name;product_type;product_category_id;product_category_name;product_attribute_set_id;product_attribute_id;product_attribute_value;product_option_set_id;product_option_id;product_option_value;model_name;model_number;material_id;material_name;short_description;description;product_brand_id;product_brand_name;highlights;search_details;care_instructions;dangerous_goods;video_url;unit_price;remommended_retail_price;currency_code;quantity_on_hand;warranty_period;warranty_policy;warranty_type_id;warranty_type_name;what_in_the_box;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;item_length_unit_measure_id;item_length_unit_measure_code;item_width_unit_measure_id;item_width_unit_measure_code;item_height_unit_measure_id;item_height_unit_measure_code;item_weight_unit_measure_id;item_weight_unit_measure_code;item_package_length_unit_measure_id;item_package_length_unit_measure_code;item_package_width_unit_measure_id;item_package_width_unit_measure_code;item_package_height_unit_measure_id;item_package_height_unit_measure_code;item_package_weight_unit_measure_id;item_package_weight_unit_measure_code;no_of_pieces;no_of_items;manufacture;special_feactures;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;sell_start_date;sell_end_date;status;last_edited_by;last_edited_when
1;Shoes;relationships Licensed contextually-based;B2C Garden;multi-tasking Unbranded Metal Ball Home Loan Account;65338;orange static Personal Loan Account;XML array;27746;encompassing Architect Baby;71604;54302;extensible methodologies virtual;27812;33997;Incredible;compressing Incredible;connecting Metrics lavender;37250;Implementation Rustic Wooden Bike;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;16279;Money Market Account Pants Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Global white;Center;66191;90476;STD;64751;logistical Salad secondary;reboot;5560;Health fuchsia deposit;../fake-data/blob/hipster.txt;41119;71712;40240;85613;88458;35676;89556;75746;90917;encryption;69105;grid-enabled;19060;Sausages seamless applications;83094;Wooden sensor Bouvet Island (Bouvetoya);28794;Cambridgeshire budgetary management Credit Card Account;43384;Soap Cotton;54669;Lead one-to-one;73300;payment;93155;10585;COM Norfolk Island Bond Markets Units European Composite Unit (EURCO);../fake-data/blob/hipster.txt;mesh throughput;false;compressing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T07:34:39;2019-12-16T08:04:52;10445;Arkansas;2019-12-16T15:39:55
2;Wooden Planner;Business-focused;Auto Loan Account feed Kids;EXE Configurable;87310;multi-byte;knowledge base Functionality navigating;98356;4th generation Consultant communities;34751;14430;Steel;2725;69201;Fields Visionary;Illinois Rubber;customized calculating bypassing;47735;impactful strategic auxiliary;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;32817;purple Refined;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;interactive Internal;mint green enable;80840;57647;UAH;76188;online disintermediate;Solutions;11864;Brand Comoro Franc Morocco;../fake-data/blob/hipster.txt;3265;93710;47559;31180;40774;24977;16121;65416;65640;Director Washington;71475;Intelligent Cotton Bike Granite Auto Loan Account;93848;payment;7680;24/7 Palestinian Territory;40320;backing up virtual Investment Account;37345;Versatile Practical out-of-the-box;41317;Pataca withdrawal;7010;empower;18177;55632;Sports;../fake-data/blob/hipster.txt;Rustic Cotton Bike Hat SMS;true;Fully-configurable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T14:44:33;2019-12-16T03:33:10;73148;Paradigm;2019-12-16T21:30:36
3;HTTP Applications Regional;migration foreground;copy;Handcrafted Soft Table innovate;44390;Corporate invoice Beauty;overriding partnerships drive;91506;Mandatory overriding;48402;54747;dynamic Customer;21520;32521;Awesome Concrete Bacon Clothing Developer;Graphic Interface Re-contextualized pink;Tanzanian Shilling redundant Research;40021;bluetooth heuristic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;99033;Industrial Savings Account withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;infrastructures task-force mint green;Personal Loan Account;22267;41984;GTQ;49689;District hack;Towels;41814;transmit International;../fake-data/blob/hipster.txt;8412;69040;39310;34054;10024;80496;1659;5239;66171;Money Market Account;16301;Enterprise-wide;2370;parsing Specialist Concrete;23147;SQL;92646;functionalities;5062;Practical Rubber Chair;39289;Shoes West Virginia Jewelery;78737;customer loyalty;4025;69771;24/365 Wisconsin;../fake-data/blob/hipster.txt;Bahamas;false;hard drive optimizing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T05:05:57;2019-12-16T23:38:01;37472;Comoros Ergonomic Cotton Shirt;2019-12-16T06:49:27
4;digital;contingency;bypassing;Ergonomic violet Incredible Rubber Pizza;28732;composite;calculate;5129;Buckinghamshire mindshare interactive;39457;69380;Cayman Islands salmon;20858;80543;reboot;Cameroon;even-keeled best-of-breed infrastructures;67969;Refined Steel Soap;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;39191;Turkish Lira white;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Engineer visionary;Product attitude;22999;11113;KGS;64810;SMTP;hacking Mauritius Rupee bypassing;39699;Tuna;../fake-data/blob/hipster.txt;73795;53515;36047;8202;67127;3493;27064;98975;8122;Architect;15620;Executive Officer;79381;invoice Montana;86610;zero defect Spring;61938;content e-commerce;33028;Montana quantifying;20152;Group;68908;hacking;55619;9954;Checking Account Solomon Islands Automated;../fake-data/blob/hipster.txt;Central Officer;false;indigo transmit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T20:43:41;2019-12-16T12:20:30;86556;Ergonomic Plastic;2019-12-16T03:18:05
5;Codes specifically reserved for testing purposes;Plastic Chicken Investor;Auto Loan Account UAE Dirham Alabama;morph Soft;1838;Rest;Function-based Credit Card Account calculate;21871;Handcrafted Wooden Bike;60599;12200;Australian Dollar Soft Director;18345;47852;Group benchmark;Books Checking Account;Switchable Health invoice;42639;Qatar Shoes modular;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;66382;Coordinator Licensed Fresh Soap Florida;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Beauty robust;Refined Savings Account;34095;80020;XCD;86300;Keyboard calculating;object-oriented Saudi Arabia Zimbabwe Dollar;90026;virtual US Dollar;../fake-data/blob/hipster.txt;67963;61448;94592;58119;29582;25363;111;75633;27195;azure;66183;deposit;59346;Books feed;32353;invoice Connecticut innovative;13457;Unbranded indexing Central;64978;Unbranded;40202;port virtual;11821;Books card efficient;25448;14821;Awesome;../fake-data/blob/hipster.txt;programming Creative Vermont;true;Licensed Holy See (Vatican City State);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T17:40:53;2019-12-16T10:48:38;60713;architect Innovative Sleek;2019-12-16T19:14:34
6;Ergonomic;parsing;niches Belize HTTP;Customer Station flexibility;47646;Graphic Interface;Dong Norwegian Krone;31523;Cotton payment Metal;57849;11956;Oklahoma Reverse-engineered optical;42593;49995;bandwidth Auto Loan Account olive;copy;supply-chains;61710;overriding white Rubber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;96347;Gorgeous Greens;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;interactive bypass;Refined Wooden Chips Mississippi;54434;6669;EGP;4809;secondary Program;Bedfordshire Yen;25231;moderator Savings Account;../fake-data/blob/hipster.txt;89793;97703;80992;54477;58313;13568;73022;89363;36482;invoice;46618;magenta Baht Kentucky;35862;Global Shoes system engine;5688;transmit Quetzal toolset;67566;cultivate synthesize;45418;portals;93472;Secured Plastic;58454;Director engineer;6203;46672;Sleek Keyboard;../fake-data/blob/hipster.txt;withdrawal;true;Courts;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T18:17:14;2019-12-16T04:12:57;40070;Cotton JBOD synergies;2019-12-16T17:30:23
7;payment vortals;streamline Stravenue;Mobility deposit;purple Shoes methodical;52525;Cotton FTP;Wooden;39174;Chair pixel magenta;5856;21491;Generic Cotton Pizza Awesome;11647;34548;virtual;Belarus Mexican Peso Mexican Unidad de Inversion (UDI);Corporate leverage;29632;Rubber Pizza portals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;59567;Sleek Paradigm;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Passage Buckinghamshire blue;Square;63009;91578;UGX;35979;definition lavender Pula;JBOD;97094;Shirt;../fake-data/blob/hipster.txt;72206;60333;4028;80168;40542;46951;51628;42265;58064;Solutions Bond Markets Units European Composite Unit (EURCO) Curve;80967;Communications Garden Facilitator;8613;open-source;28033;Plastic e-markets;64395;transform;5456;Savings Account;90240;unleash azure;44257;Intelligent Fresh Table overriding Indiana;35310;50354;Awesome Concrete Bacon Web Spurs;../fake-data/blob/hipster.txt;Checking Account communities;true;Central African Republic Investment Account red;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T11:47:07;2019-12-16T15:19:15;57160;Bacon;2019-12-17T01:22:14
8;Auto Loan Account copy Sri Lanka;Norway;Generic synergies;Concrete;74229;Innovative;Fantastic Cotton Pizza Cambridgeshire;48329;morph overriding Granite;50569;733;Movies;55329;57386;Wyoming CSS;User-friendly Steel;Licensed Licensed Concrete Salad Madagascar;64557;Incredible Frozen Soap indexing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;29661;Unbranded Chips;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;back-end;Palestinian Territory De-engineered proactive;98950;69072;RWF;72878;Rustic Frozen Shirt Awesome analyzing;Games Azerbaijanian Manat withdrawal;41078;Berkshire systems Toys;../fake-data/blob/hipster.txt;33537;2221;17708;98853;9842;4142;95672;96780;59935;matrix array;39314;De-engineered Small;17903;digital Cordoba Oro;54692;Highway;92243;Practical Plastic Tuna world-class optical;99251;Public-key;87430;calculating Multi-tiered benchmark;40967;Orchestrator Chair digital;33419;81046;full-range hard drive revolutionize;../fake-data/blob/hipster.txt;primary CSS;false;Gold Metal vortals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T13:38:05;2019-12-16T10:34:58;40273;Mayotte Associate;2019-12-16T23:33:20
9;Lilangeni recontextualize;Games;Intranet ADP Direct;eyeballs viral moratorium;73087;Riel Louisiana;Money Market Account Illinois Tuna;47173;Gambia;57028;22460;Handmade Fresh Chair;25454;35483;auxiliary Ohio;open system;Massachusetts digital firewall;61010;Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13318;uniform;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Generic Metal Hat Ball;Grocery;49623;90801;GIP;24257;Small leverage Tasty;Towels;47164;Small;../fake-data/blob/hipster.txt;62568;71441;55053;36164;40736;12537;52137;25361;89657;black Health;86166;New Jersey;89065;Credit Card Account;81016;e-markets copy Future;57212;Keyboard;26879;indigo;24685;help-desk Montenegro;58799;paradigms Auto Loan Account;8157;17732;microchip;../fake-data/blob/hipster.txt;Buckinghamshire salmon 24/7;false;multi-byte Tools;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T11:12:57;2019-12-16T06:04:39;66887;virtual;2019-12-16T04:24:54
10;Garden;Vermont;Prairie South Dakota invoice;programming Industrial monitor;20839;Fresh;Incredible Concrete Car Corporate;25619;cyan;13812;2461;tan bandwidth 24/7;91172;75804;generate;Som;orchid Assistant deposit;93454;framework optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;76585;Congolese Franc;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;functionalities Rustic Concrete Chicken Producer;New York lime;50445;36696;GYD;14722;olive portal;Integrated implement;26916;azure neural;../fake-data/blob/hipster.txt;90925;82521;37023;79505;75127;32373;89699;76519;84612;Tuna;95629;utilize impactful;6243;Bedfordshire Licensed Cloned;31694;online EXE;30246;SCSI PNG compress;14669;Bermudian Dollar (customarily known as Bermuda Dollar) Configuration Croatian Kuna;33161;Buckinghamshire;64572;Bedfordshire;11995;30604;Licensed Wooden Pizza;../fake-data/blob/hipster.txt;Cotton;true;neural-net;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-16T10:54:19;2019-12-16T21:08:45;75182;optical Response productivity;2019-12-16T06:11:49
