id;name;formal_name;iso_aplha_3_code;iso_numeric_code;country_type;latest_recorded_population;continent;region;subregion;border;valid_from;valid_to
1;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;70624;Sleek;8483;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;2019-12-16T15:14:18;2019-12-16T08:08:49
2;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;11752;payment synthesize Idaho;96217;grow asymmetric;Cyprus web services auxiliary;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-12-17T00:59:16;2019-12-16T14:14:39
3;Savings Account;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;95041;Regional;45565;Money Market Account;Mouse;Junctions one-to-one;analyzing holistic;2019-12-16T20:33:34;2019-12-16T03:07:46
4;Kwanza Falkland Islands (Malvinas);schemas;Pound Sterling Keyboard;91092;parsing;94979;hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;Ways Liaison engage;2019-12-16T08:48:31;2019-12-16T17:39:25
5;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;81290;Producer Agent;55543;input Accounts;enhance Multi-channelled purple;Response;white SMTP;2019-12-16T08:37:50;2019-12-16T11:57:48
6;global;Baby;Kyrgyz Republic transmit;52016;SAS;55190;California PNG engage;Burg;transmit Credit Card Account;digital Corporate Checking Account;2019-12-16T03:16:03;2019-12-16T18:23:03
7;New York mesh;Unbranded array;Berkshire solid state;39654;Home Loan Account;86236;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;2019-12-16T13:54:15;2019-12-16T23:42:19
8;Rubber Shirt;Pakistan Rupee;Chicken;34566;Human Mission;66755;Soap teal Licensed Wooden Pants;e-business;Awesome;Kiribati;2019-12-16T18:15:17;2019-12-16T21:50:47
9;innovative Bedfordshire Lempira;Licensed;Credit Card Account Sleek;87357;Regional;6107;systemic;Handmade Savings Account Manager;cultivate Bedfordshire;navigate Kiribati;2019-12-16T09:30:22;2019-12-16T08:51:33
10;Games;Metal;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);10717;Inlet Hungary Configurable;26924;leverage Toys software;Incredible;Concrete National;Ranch impactful;2019-12-16T11:13:36;2019-12-16T14:50:09
