id;name;vendor_code;vendor_sku;generated_sku;barcode;unit_price;recommended_retail_price;quantity_on_hand;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;no_of_pieces;no_of_items;manufacture;marketing_comments;internal_comments;sell_start_date;sell_end_date;sell_count;custom_fields;thumbnail_url;active_ind;last_edited_by;last_edited_when
1;Handmade Cotton Pants Islands;Handcrafted Plastic Fish Solutions architect;invoice Berkshire Kids;Licensed Awesome Ergonomic Rubber Cheese;Nevada haptic;75174;35020;80300;67747;51800;75850;14032;1462;67115;20724;62047;71323;74225;Tuna pink;scale Salad Reverse-engineered;Investment Account invoice;2019-12-16T05:27:42;2019-12-16T06:20:19;57880;invoice Gloves;models port;false;Kansas;2019-12-16T22:21:06
2;Savings Account;metrics International Buckinghamshire;Arkansas;Belarussian Ruble deploy;Prairie Data ROI;54934;69235;53325;26406;63676;93906;74823;63637;22504;32451;52872;26951;82591;Ridge;olive;compressing Handcrafted Soft Bacon;2019-12-16T07:04:52;2019-12-16T08:07:41;46152;Officer primary synthesize;intuitive eyeballs Health;false;Grocery;2019-12-16T05:42:01
3;Stand-alone New York Refined Metal Cheese;e-business;XML;circuit;Technician bypassing;84487;74800;24900;81271;57670;70683;6725;96726;9491;82665;99889;90309;32663;transmit wireless TCP;Forest Arizona groupware;Frozen;2019-12-17T02:15:44;2019-12-16T05:23:59;36042;redundant Alabama architecture;core Books;false;Investor application alliance;2019-12-16T23:37:02
4;Borders Toys Web;AI Maryland;Tasty Metal Cheese system;panel incubate Organic;JSON cultivate;37148;34190;61852;52767;63307;21163;46928;99563;44305;98111;49414;64950;86104;Road Intranet Avon;Street Indian Rupee Ngultrum Dong;Tasty Corporate;2019-12-16T11:38:29;2019-12-16T14:47:31;5439;payment Technician Gorgeous Rubber Keyboard;invoice Investment Account Mouse;true;Pass;2019-12-16T10:46:28
5;parsing Car;Somoni;Savings Account;Street Squares Codes specifically reserved for testing purposes;New Zealand Cambridgeshire transition;15369;58449;57260;83379;27701;64257;92130;7855;58319;74056;59284;9490;35492;Handcrafted Steel Car communities;Investor;AGP SMS;2019-12-16T10:59:01;2019-12-16T12:28:41;21123;JBOD SMTP;scale;true;SAS;2019-12-16T23:47:43
6;red cyan Nuevo Sol;Orchestrator Views;bypass Plastic robust;Coordinator quantifying;Chief architecture Honduras;78940;7103;41621;21079;16811;22936;47495;46910;5522;26856;94238;10097;7482;platforms;Strategist hack;Cotton Home Bacon;2019-12-16T21:49:34;2019-12-16T18:58:14;63058;white;Fresh;false;virtual Quetzal;2019-12-17T01:17:56
7;mint green solid state Soft;Refined Liaison;Ergonomic;compressing hard drive;back-end Granite;58069;78055;50550;30362;14407;31168;62399;314;27364;17424;48783;87540;8227;Way Graphic Interface;protocol full-range bleeding-edge;array;2019-12-16T13:01:04;2019-12-16T13:40:01;66721;calculate CSS alliance;Fresh Wyoming;true;Identity Electronics Lebanon;2019-12-16T15:29:59
8;withdrawal Missouri US Dollar;leading-edge SAS;Plastic Tenge;generate Fresh;Chief;81785;17549;51014;56772;73623;57931;51289;48962;86960;64474;40277;22982;97023;Identity calculate;Wooden;CSS Ball;2019-12-16T06:17:55;2019-12-16T21:33:06;49076;revolutionize;methodical Intranet Designer;true;Soft incentivize;2019-12-16T07:39:19
9;customized Incredible Oregon;South Carolina e-business Technician;white;Tajikistan;Persevering optimizing;65;62347;87066;60028;79259;5351;62732;37653;75026;23205;15204;26537;45832;mission-critical Gorgeous;Up-sized Program;mission-critical azure Seamless;2019-12-16T04:59:54;2019-12-16T12:38:31;46806;Springs;Swiss Franc Investment Account index;true;matrix Accounts;2019-12-16T17:46:53
10;transmitter Drive;Shoes green world-class;Polarised European Unit of Account 9(E.U.A.-9);Buckinghamshire Avon;Checking Account;27847;55115;85298;43817;92838;83918;99639;16067;79600;2497;75373;44903;21550;proactive;application Frozen;black Corporate;2019-12-16T10:06:21;2019-12-16T17:41:12;61077;maroon Handmade Rubber Keyboard invoice;Optional;true;Tennessee Factors facilitate;2019-12-17T01:12:45
